title,paper_code,abstract,authors,conference,year,source,source_url,keywords,crawled_at,parser_version
"Contextual-Based Image Inpainting: Infer, Match, and Translate",10_1007_978_3_030_01216_8_1,"We study the task of image inpainting, which is to fill in the missing region of an incomplete image with plausible contents. To this end, we propose a learning-based approach to generate visually coherent completion given a high-resolution image with missing components. In order to overcome the difficulty to directly learn the distribution of high-dimensional image data, we divide the task into inference and translation as two separate steps and model each step with a deep neural network. We also use simple heuristics to guide the propagation of local textures from the boundary to the hole. We show that, by using such techniques, inpainting reduces to the problem of learning two image-feature translation functions in much smaller space and hence easier to train. We evaluate our method on several public datasets and show that we generate results of better visual quality than previous state-of-the-art methods. Y. Song and C. Yang—Equal contributions. You have full access to this open access chapter,Download conference paper PDF",Yuhang Song; Chao Yang; Zhe Lin; Xiaofeng Liu; Qin Huang; Hao Li; C.‐C. Jay Kuo,ECCV,2018,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01216-8_1,feature manipulation; gans; image inpainting,2026-09-24T02:43:51Z,springer-eccv-v1
SaaS: Speed as a Supervisor for Semi-supervised Learning,10_1007_978_3_030_01216_8_10,"We introduce the SaaS Algorithm for semi-supervised learning, which uses learning speed during stochastic gradient descent in a deep neural network to measure the quality of an iterative estimate of the posterior probability of unknown labels. Training speed in supervised learning correlates strongly with the percentage of correct labels, so we use it as an inference criterion for the unknown labels, without attempting to infer the model parameters at first. Despite its simplicity, SaaS achieves competitive results in semi-supervised learning benchmarks. You have full access to this open access chapter,Download conference paper PDF",Safa Cicek; Alhussein Fawzi; Stefano Soatto,ECCV,2018,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01216-8_10,artificial intelligence; artificial neural network; computer science; deep learning; gradient descent; inference; machine learning; stochastic gradient descent; supervised learning; supervisor,2026-09-24T02:43:51Z,springer-eccv-v1
Attention-GAN for Object Transfiguration in Wild Images,10_1007_978_3_030_01216_8_11,"This paper studies the object transfiguration problem in wild images. The generative network in classical GANs for object transfiguration often undertakes a dual responsibility: to detect the objects of interests and to convert the object from source domain to another domain. In contrast, we decompose the generative network into two separated networks, each of which is only dedicated to one particular sub-task. The attention network predicts spatial attention maps of images, and the transformation network focuses on translating objects. Attention maps produced by attention network are encouraged to be sparse, so that major attention can be paid on objects of interests. No matter before or after object transfiguration, attention maps should remain constant. In addition, learning attention network can receive more instructions, given the available segmentation annotations of images. Experimental results demonstrate the necessity of investigating attention in object transfiguration, and that the proposed algorithm can learn accurate attention to improve quality of generated images. You have full access to this open access chapter,Download conference paper PDF",Xinyuan Chen; Chang Xu; Xiaokang Yang; Dacheng Tao,ECCV,2018,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01216-8_11,attention mechanism; generative adversarial network,2026-09-24T02:43:51Z,springer-eccv-v1
Exploring the Limits of Weakly Supervised Pretraining,10_1007_978_3_030_01216_8_12,"State-of-the-art visual perception models for a wide range of tasks rely on supervised pretraining. ImageNet classification is the de facto pretraining task for these models. Yet, ImageNet is now nearly ten years old and is by modern standards “small”. Even so, relatively little is known about the behavior of pretraining with datasets that are multiple orders of magnitude larger. The reasons are obvious: such datasets are difficult to collect and annotate. In this paper, we present a unique study of transfer learning with large convolutional networks trained to predict hashtags on billions of social media images. Our experiments demonstrate that training for large-scale hashtag prediction leads to excellent results. We show improvements on several image classification and object detection tasks, and report the highest ImageNet-1k single-crop, top-1 accuracy to date: 85.4% (97.6% top-5). We also perform extensive experiments that provide novel empirical data on the relationship between large-scale pretraining and transfer learning performance. You have full access to this open access chapter,Download conference paper PDF",Dhruv Kumar Mahajan; Ross Girshick; Vignesh Ramanathan; Kaiming He; Manohar Paluri; Yixuan Li; Ashwin Bharambe; Laurens van der Maaten,ECCV,2018,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01216-8_12,artificial intelligence; computer science; convolutional neural network; de facto; machine learning; object grammar; pattern recognition psychology; range aeronautic; scale ratio; task project management; transfer learning,2026-09-24T02:43:51Z,springer-eccv-v1
Egocentric Activity Prediction via Event Modulated Attention,10_1007_978_3_030_01216_8_13,"Predicting future activities from an egocentric viewpoint is of particular interest in assisted living. However, state-of-the-art egocentric activity understanding techniques are mostly NOT capable of predictive tasks, as their synchronous processing architecture performs poorly in either modeling event dependency or pruning temporal redundant features. This work explicitly addresses these issues by proposing an asynchronous gaze-event driven attentive activity prediction network. This network is built on a gaze-event extraction module inspired by the fact that gaze moving in/out of a certain object most probably indicates the occurrence/ending of a certain activity. The extracted gaze events are input to: (1) an asynchronous module which reasons about the temporal dependency between events and (2) a synchronous module which softly attends to informative temporal durations for more compact and discriminative feature extraction. Both modules are seamlessly integrated for collaborative prediction. Extensive experimental results on egocentric activity prediction as well as recognition well demonstrate the effectiveness of the proposed method. You have full access to this open access chapter,Download conference paper PDF",Yang Shen; Bingbing Ni; Zefan Li; Ning Zhuang,ECCV,2018,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01216-8_13,asynchronou; attention; egocentric video; event; gaze; prediction,2026-09-24T02:43:51Z,springer-eccv-v1
How Good Is My GAN?,10_1007_978_3_030_01216_8_14,"Generative adversarial networks (GANs) are one of the most popular methods for generating images today. While impressive results have been validated by visual inspection, a number of quantitative criteria have emerged only recently. We argue here that the existing ones are insufficient and need to be in adequation with the task at hand. In this paper we introduce two measures based on image classification—GAN-train and GAN-test, which approximate the recall (diversity) and precision (quality of the image) of GANs respectively. We evaluate a number of recent GAN approaches based on these two measures and demonstrate a clear difference in performance. Furthermore, we observe that the increasing difficulty of the dataset, from CIFAR10 over CIFAR100 to ImageNet, shows an inverse correlation with the quality of the GANs, as clearly evident from our measures. This work was supported in part by the ERC advanced grant ALLEGRO, gifts from Amazon, Facebook and Intel, and the Indo-French project EVEREST (no. 5302-1) funded by CEFIPRA. You have full access to this open access chapter,Download conference paper PDF",Konstantin Shmelkov; Cordelia Schmid; Karteek Alahari,ECCV,2018,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01216-8_14,adversarial system; algorithm; artificial intelligence; cognitive psychology; computer science; generative grammar; image mathematic; image quality; inverse; machine learning; mathematic; pattern recognition psychology; precision recall; quality philosophy; recall; task project management,2026-09-24T02:43:51Z,springer-eccv-v1
3D-CODED: 3D Correspondences by Deep Deformation,10_1007_978_3_030_01216_8_15,"We present a new deep learning approach for matching deformable shapes by introducing Shape Deformation Networks which jointly encode 3D shapes and correspondences. This is achieved by factoring the surface representation into (i) a template, that parameterizes the surface, and (ii) a learnt global feature vector that parameterizes the transformation of the template into the input surface. By predicting this feature for a new shape, we implicitly predict correspondences between this shape and the template. We show that these correspondences can be improved by an additional step which improves the shape feature by minimizing the Chamfer distance between the input and transformed template. We demonstrate that our simple approach improves on state-of-the-art results on the difficult FAUST-inter challenge, with an average correspondence error of 2.88 cm. We show, on the TOSCA dataset, that our method is robust to many types of perturbations, and generalizes to non-human shapes. This robustness allows it to perform well on real unclean, meshes from the SCAPE dataset. You have full access to this open access chapter,Download conference paper PDF",Thibault Groueix; Matthew Fisher; Vladimir Grigoryevich Kim; Bryan Russell; Mathieu Aubry,ECCV,2018,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01216-8_15,3d deep learning; computational geometry; shape matching,2026-09-24T02:43:51Z,springer-eccv-v1
Audio-Visual Event Localization in Unconstrained Videos,10_1007_978_3_030_01216_8_16,"In this paper, we introduce a novel problem of audio-visual event localization in unconstrained videos. We define an audio-visual event as an event that is both visible and audible in a video segment. We collect an Audio-Visual Event (AVE) dataset to systemically investigate three temporal localization tasks: supervised and weakly-supervised audio-visual event localization, and cross-modality localization. We develop an audio-guided visual attention mechanism to explore audio-visual correlations, propose a dual multimodal residual network (DMRN) to fuse information over the two modalities, and introduce an audio-visual distance learning network to handle the cross-modality localization. Our experiments support the following findings: joint modeling of auditory and visual modalities outperforms independent modeling, the learned attention can capture semantics of sounding objects, temporal alignment is important for audio-visual fusion, the proposed DMRN is effective in fusing audio-visual features, and strong correlations between the two modalities enable cross-modality localization. You have full access to this open access chapter,Download conference paper PDF",Yapeng Tian; Jing Shi; Bochen Li; Zhiyao Duan; Chenliang Xu,ECCV,2018,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01216-8_16,attention; audio-visual event; fusion; temporal localization,2026-09-24T02:43:51Z,springer-eccv-v1
Grounding Visual Explanations,10_1007_978_3_030_01216_8_17,"Existing visual explanation generating agents learn to fluently justify a class prediction. However, they may mention visual attributes which reflect a strong class prior, although the evidence may not actually be in the image. This is particularly concerning as ultimately such agents fail in building trust with human users. To overcome this limitation, we propose a phrase-critic model to refine generated candidate explanations augmented with flipped phrases which we use as negative examples while training. At inference time, our phrase-critic model takes an image and a candidate explanation as input and outputs a score indicating how well the candidate explanation is grounded in the image. Our explainable AI agent is capable of providing counter arguments for an alternative prediction, i.e. counterfactuals, along with explanations that justify the correct classification decisions. Our model improves the textual explanation quality of fine-grained classification decisions on the CUB dataset by mentioning phrases that are grounded in the image. Moreover, on the FOIL tasks, our agent detects when there is a mistake in the sentence, grounds the incorrect phrase and corrects it significantly better than other models. You have full access to this open access chapter,Download conference paper PDF",Lisa Anne Hendricks; Ronghang Hu; Trevor J. Darrell; Zeynep Akata,ECCV,2018,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01216-8_17,counterfactual; explainability; grounding; phrase correction,2026-09-24T02:43:51Z,springer-eccv-v1
Adversarial Open-World Person Re-Identification,10_1007_978_3_030_01216_8_18,"In a typical real-world application of re-id, a watch-list (gallery set) of a handful of target people (e.g. suspects) to track around a large volume of non-target people are demanded across camera views, and this is called the open-world person re-id. Different from conventional (closed-world) person re-id, a large portion of probe samples are not from target people in the open-world setting. And, it always happens that a non-target person would look similar to a target one and therefore would seriously challenge a re-id system. In this work, we introduce a deep open-world group-based person re-id model based on adversarial learning to alleviate the attack problem caused by similar non-target people. The main idea is learning to attack feature extractor on the target people by using GAN to generate very target-like images (imposters), and in the meantime the model will make the feature extractor learn to tolerate the attack by discriminative learning so as to realize group-based verification. The framework we proposed is called the adversarial open-world person re-identification, and this is realized by our Adversarial PersonNet (APN) that jointly learns a generator, a person discriminator, a target discriminator and a feature extractor, where the feature extractor and target discriminator share the same weights so as to makes the feature extractor learn to tolerate the attack by imposters for better group-based verification. While open-world person re-id is challenging, we show for the first time that the adversarial-based approach helps stabilize person re-id system under imposter attack more effectively. You have full access to this open access chapter,Download conference paper PDF",Xiang Li; Ancong Wu; Wei‐Shi Zheng,ECCV,2018,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01216-8_18,adversarial system; artificial intelligence; computer science; discriminative model; discriminator; extractor; feature linguistic; generator circuit theory; identification biology; open set; power physic; set abstract data type,2026-09-24T02:43:51Z,springer-eccv-v1
